Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Romain Beraud,FRA,Homme,800,177,72,22.98190175,491.7,5.857230018
Damien Cattin Vidal,FRA,Homme,800,181,70,21.36686914,494.65,5.822298595
Luca Ferretti,ITA,Homme,800,180,72,22.22222222,494.88,5.819592629
Stefan Sorak,SRB,Homme,800,191,86,23.57391519,497.91,5.784177863
Yannick Agnel,FRA,Homme,1500,202,90,22.05666111,907.76,5.94870891
Gregorio Paltrinieri,ITA,Homme,1500,188,66,18.67360797,910.87,5.928398125
Michael McBroom,USA,Homme,1500,188,85,24.04934359,914.09,5.907514577
Eric Hedlin,CAN,Homme,1500,185,81,23.66691015,917.29,5.886905995
Ous Mellouli,TUN,Homme,1500,192,80,21.70138889,919.09,5.875376731
Damien Joly,FRA,Homme,1500,188,70,19.80534178,919.18,5.874801453
Gabriele Detti,ITA,Homme,1500,184,79,23.33412098,920.47,5.866568166
Jarrod Poort,AUS,Homme,1500,185,85,24.83564646,925.12,5.837080595
Pal Joensen,FAR,Homme,1500,180,75,23.14814815,926.86,5.826122608
Yasunari Hirai,JPN,Homme,1500,175,75,24.48979592,933.44,5.785053137
Matt McLean,USA,Homme,1500,198,87,22.1916131,933.84,5.782575173
William Brothers,CAN,Homme,1500,182,72,21.73650525,934.03,5.781398884
Mateusz Sawrymowicz,POL,Homme,1500,185,75,21.9138057,934.16,5.780594331
Nicola Bolzonello,ITA,Homme,1500,178,67,21.14631991,947.25,5.700712589
Andrew Meegan,IRL,Homme,1500,178,70,22.09317005,947.55,5.698907709
Arturo Perez Vertti,MEX,Homme,1500,194,80,21.25624402,971.04,5.561047949
Teddy Kalp,CAN,Homme,1500,190,78,21.6066482,982.65,5.495344222
Yvon Gallant,CAN,Homme,1500,182,68,20.52892163,1005.06,5.372813563
Liam Desjarlais,CAN,Homme,1500,182,76,22.94408888,1033.18,5.226582009
