"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Sarah Meunier","F","SBD","Raw",39,"35-39","Masters 1",61.74,"63",95,100,-107.5,NA,100,65,70,72.5,NA,72.5,115,122.5,125,NA,125,297.5,"2",324.45,324.45,286.57,517.24,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257542,3
"Stéphanie Carion","F","SBD","Raw",43,"40-44","Masters 1",58.74,"63",82.5,87.5,92.5,NA,92.5,77.5,85,-88.5,NA,85,100,112.5,117.5,NA,117.5,295,"3",334.36,344.73,295.51,524.73,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257543,3
"France Juilien","F","SBD","Raw",46,"45-49","Masters 1",70.66,"72",115,125,131,NA,131,62.5,67.5,-71,NA,67.5,135,145,155,NA,155,353.5,"1",349.42,373.18,307.94,580.91,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257544,3
"Laurence Barlieu","F","SBD","Raw",40,"40-44","Masters 1",68.08,"72",85,-92.5,95,NA,95,50,55,-60,NA,55,140,-147.5,-147.5,NA,140,290,"2",294.18,294.18,259.47,482.74,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257545,3
"Nathalie Feraud","F","SBD","Raw",51,"50-54","Masters 2",49.02,"52",85,90,95,NA,95,55,60,-62.5,NA,60,115,-120,-125,NA,115,270,"1",352.06,403.81,312.95,523.01,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257546,3
"Véronique Gaillard","F","SBD","Raw",51,"50-54","Masters 2",50.22,"52",90,95,101,NA,101,50,-52.5,-52.5,NA,50,85,90,-95,NA,90,241,"2",308.57,353.93,273.93,456.42,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257547,3
"Marie France Cabos","F","SBD","Raw",51,"50-54","Masters 2",56.7,"57",102.5,107.5,110.5,NA,110.5,65,70,-72.5,NA,70,137.5,-142.5,-142.5,NA,137.5,318,"1",370.53,425,327.67,577.47,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257548,3
"Marie-Christine Pracella","F","SBD","Raw",52,"50-54","Masters 2",56.45,"57",77.5,82.5,NA,NA,82.5,90,92.5,-95,NA,92.5,110,115,-120,NA,115,290,"2",339.08,395.03,299.88,525.34,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257549,4
"Daisy Blondan","F","SBD","Raw",58,"55-59","Masters 2",62.62,"63",90,95,-100,NA,95,70,72.5,-75,NA,72.5,130,135,-137.5,NA,135,302.5,"1",326.37,421.34,288.21,522.86,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257550,3
"Laurie Iung","F","SBD","Raw",57,"55-59","Masters 2",61.46,"63",87.5,92.5,-95,NA,92.5,52.5,55,-57.5,NA,55,102.5,107.5,112.5,NA,112.5,260,"2",284.55,360.8,251.34,450.58,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257551,3
"Sophie Estel","F","SBD","Raw",52,"50-54","Masters 2",68.68,"72",115,-120,122.5,NA,122.5,47.5,50,-52.5,NA,50,145,150,155,NA,155,327.5,"1",330.16,384.64,291.15,544.33,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257552,3
"Livy Laure Romain","F","SBD","Raw",50,"50-54","Masters 2",68.13,"72",117.5,122.5,-126,NA,122.5,-57.5,-57.5,57.5,NA,57.5,135,140,-150,NA,140,320,"2",324.44,366.62,286.15,533.52,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257553,3
"Anne Marie Grimal","F","SBD","Raw",50,"50-54","Masters 2",75.92,"84",115,120,125,NA,125,57.5,-60,62.5,NA,62.5,115,125,130,NA,130,317.5,"1",299.56,338.5,263.38,505.9,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257554,3
"Véronique Auclair","F","SBD","Raw",49,"45-49","Masters 2",98.09,"84+",105,-110,110,NA,110,65,67.5,-70,NA,67.5,122.5,127.5,130,NA,130,307.5,"1",257.52,286.62,221.76,446.34,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257555,3
"Marie-Claude Dutrillaux","F","SBD","Raw",62,"60-64","Masters 3",50.12,"52",75,77.5,80,NA,80,40,42.5,44,NA,44,102.5,105,106,NA,106,230,"1",294.93,410.84,261.85,434.11,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257556,3
"Edith Guennec","F","SBD","Raw",61,"60-64","Masters 3",56.21,"57",90,97.5,102.5,NA,102.5,50,52.5,-55,NA,52.5,142.5,150,-156,NA,150,305,"1",357.81,488.77,316.48,555.12,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257557,3
"Martine Parfait","F","SBD","Raw",61,"60-64","Masters 3",56.18,"57",70,75,-77.5,NA,75,45,47.5,-50,NA,47.5,115,120,-125,NA,120,242.5,"2",284.61,388.78,251.73,435.66,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257558,3
"Françoise Calves","F","SBD","Raw",61,"60-64","Masters 3",59.51,"63",90,-95,NA,NA,90,45,47.5,-50,NA,47.5,100,105,110,NA,110,247.5,"1",277.7,379.33,245.39,433.95,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257559,4
"Joelle Lemarchand","F","SBD","Raw",61,"60-64","Masters 3",62.88,"63",70,75,77.5,NA,77.5,-50,50,-52.5,NA,50,95,-97.5,-97.5,NA,95,222.5,"2",239.3,326.88,211.31,379.39,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257560,3
"Marie Christine Liege","F","SBD","Raw",62,"60-64","Masters 3",67.5,"72",90,97.5,-102.5,NA,97.5,62.5,-67.5,67.5,NA,67.5,110,120,125,NA,125,290,"1",295.98,412.3,261.1,484.49,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257561,3
"Régine Billard","F","SBD","Raw",62,"60-64","Masters 3",66.66,"72",65,70,-72.5,NA,70,35,37.5,40,NA,40,102.5,107.5,110,NA,110,220,"2",226.57,315.62,199.91,366.71,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257562,3
"Gael Pannier","M","SBD","Raw",42,"40-44","Masters 1",58.8,"59",142.5,145,150,NA,150,110,120,122.5,NA,122.5,-130,130,150,NA,150,422.5,"1",367.12,374.46,358.06,520.9,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257563,3
"Benoit Angin","M","SBD","Raw",43,"40-44","Masters 1",58.95,"59",125,140,147.5,NA,147.5,80,90,-92.5,NA,90,110,130,-147.5,NA,130,367.5,"2",318.57,328.45,310.67,441,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257564,3
"Franck Jouveaux","M","SBD","Raw",46,"45-49","Masters 1",65.6,"66",185,195,-202.5,NA,195,115,117.5,120,NA,120,220,230,235,NA,235,550,"1",434.03,463.54,421.39,643.05,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257565,3
"Mickael Bernard","M","SBD","Raw",47,"45-49","Masters 1",65.29,"66",165,172.5,-177.5,NA,172.5,147.5,152.5,-155.5,NA,152.5,200,210,-220,NA,210,535,"2",423.85,458.61,411.58,625.56,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257566,3
"Pierre Nguyen","M","SBD","Raw",41,"40-44","Masters 1",65.56,"66",155,165,170,NA,170,115,120,122.5,NA,122.5,165,180,-185,NA,180,472.5,"3",373.06,376.79,362.21,540.74,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257567,3
"Arnaud Fruit","M","SBD","Raw",41,"40-44","Masters 1",65.34,"66",157.5,-162.5,162.5,NA,162.5,105,-110,110,NA,110,182.5,192.5,-200,NA,192.5,465,"4",368.16,371.84,357.49,532.26,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257568,3
"Patrick Rahier","M","SBD","Raw",46,"45-49","Masters 1",62.71,"66",145,-152.5,-155,NA,145,75,80,82.5,NA,82.5,177.5,185,-187.5,NA,185,412.5,"5",338.22,361.22,328.92,478.91,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257569,3
"Christophe Etancelin","M","SBD","Raw",44,"40-44","Masters 1",65.01,"66",135,140,-145,NA,140,85,-87.5,87.5,NA,87.5,160,165,-170,NA,165,392.5,"6",312.08,325.5,303.09,437.9,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257570,3
"Philippe Faugeras","M","SBD","Raw",49,"45-49","Masters 1",65.22,"66",130,135,137.5,NA,137.5,85,90,92.5,NA,92.5,150,160,-170,NA,160,390,"7",309.25,344.2,300.31,433.38,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257571,3
"Vincent Casenove","M","SBD","Raw",45,"45-49","Masters 1",73.7,"74",185,192.5,197.5,NA,197.5,130,135,140,NA,140,210,217.5,222.5,NA,222.5,560,"1",403.98,426.2,390.93,600.19,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257572,3
"Gilles Herit","M","SBD","Raw",47,"45-49","Masters 1",72.98,"74",180,-187.5,-190,NA,180,115,120,122.5,NA,122.5,230,245,-260,NA,245,547.5,"2",397.76,430.38,385,589.2,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257573,3
"David Perrodou","M","SBD","Raw",43,"40-44","Masters 1",73.07,"74",172.5,180,185,NA,185,132.5,137.5,-140,NA,137.5,195,207.5,-212.5,NA,207.5,530,"3",384.7,396.63,372.35,567.13,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257574,3
"Bruno Cauhape","M","SBD","Raw",46,"45-49","Masters 1",72.38,"74",155,162.5,165,NA,165,102.5,107.5,110,NA,110,200,207.5,-210,NA,207.5,482.5,"4",352.65,376.63,341.4,512.4,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257575,3
"Denis Blangy","M","SBD","Raw",46,"45-49","Masters 1",71.02,"74",160,170,-180,NA,170,110,117.5,NA,NA,117.5,160,170,180,NA,180,467.5,"5",346.52,370.08,335.63,501.14,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257576,4
"Loris Menoni","M","SBD","Raw",44,"40-44","Masters 1",73.24,"74",155,160,-165,NA,160,95,100,-102.5,NA,100,180,190,197.5,NA,197.5,457.5,"6",331.52,345.78,320.86,477.09,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257577,3
"Mohamed Ouasti","M","SBD","Raw",43,"40-44","Masters 1",71,"74",150,160,-170,NA,160,97.5,-100,-100,NA,97.5,180,190,-195,NA,190,447.5,"7",331.77,342.05,321.35,476.18,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257578,3
"Nicolas Jouille","M","SBD","Raw",45,"45-49","Masters 1",73.58,"74",-140,145,150,NA,150,100,105,-110,NA,105,180,192.5,-202.5,NA,192.5,447.5,"8",323.2,340.98,312.77,463.15,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257579,3
"Pascal Mascart","M","SBD","Raw",45,"45-49","Masters 1",73,"74",-130,130,-135,NA,130,90,-95,-95,NA,90,175,-180,180,NA,180,400,"9",290.54,306.52,281.22,407.52,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257580,3
"Stany Corbin","M","SBD","Raw",48,"45-49","Masters 1",73.99,"74",130,137.5,-140,NA,137.5,130,135,-137.5,NA,135,170,185,-195,NA,185,457.5,"G",329.12,361.04,318.46,473.38,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257581,3
"Denis Handala","M","SBD","Raw",47,"45-49","Masters 1",81.88,"83",205,217.5,-225,NA,217.5,125,130,132.5,NA,132.5,210,220,232.5,NA,232.5,582.5,"1",392,424.14,378.5,582.09,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257582,3
"Joaquim Da Rocha","M","SBD","Raw",39,"35-39","Masters 1",80.48,"83",195,205,210,NA,210,125,135,137.5,NA,137.5,200,220,230,NA,230,577.5,"2",392.78,392.78,379.38,583.38,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257583,3
"Jean Hugues Monique","M","SBD","Raw",48,"45-49","Masters 1",81.37,"83",175,190,200,NA,200,125,130,135,NA,135,210,220,230,NA,230,565,"3",381.67,418.7,368.57,564.52,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257584,3
"Jean Louis Mazeau","M","SBD","Raw",39,"35-39","Masters 1",82.45,"83",165,172.5,177.5,NA,177.5,105,112.5,-115,NA,112.5,200,210,212.5,NA,212.5,502.5,"4",336.75,336.75,325.11,488.09,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257585,3
"Didier Dacquignie","M","SBD","Raw",44,"40-44","Masters 1",82.98,"83",170,175,-180,NA,175,130,135,-140,NA,135,185,192.5,-197.5,NA,192.5,502.5,"5",335.47,349.89,323.82,485.87,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257586,3
"Florent Jacquot","M","SBD","Raw",40,"40-44","Masters 1",82.56,"83",-160,160,172.5,NA,172.5,-120,-120,-120,NA,NA,-200,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257587,12
"Abdelah Mebrache","M","SBD","Raw",41,"40-44","Masters 1",79.61,"83",160,-180,-180,NA,160,-120,NA,NA,NA,NA,-220,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257588,14
"Philippe Neto","M","SBD","Raw",42,"40-44","Masters 1",92.08,"93",250,262.5,-270,NA,262.5,165,172.5,-175,NA,172.5,250,-265,-265,NA,250,685,"1",432.37,441.01,416.44,647.16,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257589,3
"Fabrice Houbre","M","SBD","Raw",43,"40-44","Masters 1",92.02,"93",215,230,240,NA,240,150,157.5,-162.5,NA,157.5,250,262.5,-270.5,NA,262.5,660,"2",416.72,429.64,401.38,620.71,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257590,3
"Loic Caron","M","SBD","Raw",41,"40-44","Masters 1",91.81,"93",202.5,212.5,215,NA,215,150,155,157.5,NA,157.5,220,230,240,NA,240,612.5,"3",387.16,391.03,372.92,570.79,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257591,3
"Hervé Cocaud","M","SBD","Raw",43,"40-44","Masters 1",90.53,"93",182.5,195,205,NA,205,120,127.5,132.5,NA,132.5,242.5,260,272.5,NA,272.5,610,"4",388.27,400.3,374.11,573.37,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257592,3
"Ludovic Lutz","M","SBD","Raw",47,"45-49","Masters 1",89.16,"93",195,205,212.5,NA,212.5,140,145,-150,NA,145,215,232.5,-240,NA,232.5,590,"5",378.47,409.5,364.8,557.4,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257593,3
"Stéphane Coudoux","M","SBD","Raw",43,"40-44","Masters 1",90.92,"93",190,200,205,NA,205,150,-160,160,NA,160,200,210,-220,NA,210,575,"6",365.2,376.52,351.86,534.08,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257594,3
"Loic Ciuti","M","SBD","Raw",40,"40-44","Masters 1",92.19,"93",180,187.5,192.5,NA,192.5,110,115,-117.5,NA,115,230,250,262.5,NA,262.5,570,"7",359.57,359.57,346.32,523.87,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257595,3
"Norbert Guillier","M","SBD","Raw",39,"35-39","Masters 1",90.79,"93",180,192.5,200,NA,200,107.5,-110,-110,NA,107.5,260,-272.5,-273,NA,260,567.5,"8",360.7,360.7,347.53,526.51,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257596,3
"David Poulet","M","SBD","Raw",47,"45-49","Masters 1",92.76,"93",205,215,-222.5,NA,215,107.5,115,-117.5,NA,115,210,220,NA,NA,220,550,"9",345.93,374.3,333.13,500.47,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257597,4
"Abdel Jamai","M","SBD","Raw",48,"45-49","Masters 1",92.82,"93",185,190,-192.5,NA,190,160,-170,-170,NA,160,200,-210,-215,NA,200,550,"10",345.82,379.37,333.02,500.26,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257598,3
"Emmanuel Preclaire","M","SBD","Raw",47,"45-49","Masters 1",90.86,"93",180,187.5,-190,NA,187.5,117.5,122.5,127.5,NA,127.5,-225,225,-245,NA,225,540,"11",343.09,371.22,330.55,496.64,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257599,3
"Frédéric Beyon","M","SBD","Raw",42,"40-44","Masters 1",103.24,"105",225,235,240,NA,240,180,-190,-190,NA,180,240,-250,NA,NA,240,660,"1",396.79,404.72,380.96,577.44,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257600,4
"Fadi Gantous Zacharia","M","SBD","Raw",47,"45-49","Masters 1",101.18,"105",215,-222.5,-225,NA,215,-125,127.5,-132.5,NA,127.5,250,255,-257.5,NA,255,597.5,"2",361.96,391.64,347.74,521.25,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257601,3
"Eric Desmoulin","M","SBD","Raw",48,"45-49","Masters 1",102.91,"105",197.5,-210,-210,NA,197.5,137.5,147.5,-152.5,NA,147.5,225,240,-250,NA,240,585,"3",352.11,386.27,338.11,503.2,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257602,3
"Eddy Angoston","M","SBD","Raw",46,"45-49","Masters 1",103.23,"105",210,-230,-230,NA,210,130,-140,-140,NA,130,230,240,NA,NA,240,580,"4",348.7,372.42,334.8,497.21,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257603,4
"David Cottret","M","SBD","Raw",46,"45-49","Masters 1",104.02,"105",185,195,-200,NA,195,150,-157.5,-157.5,NA,150,230,-247.5,-247.5,NA,230,575,"5",344.74,368.18,330.91,489.86,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257604,3
"Éric Bonin","M","SBD","Raw",45,"45-49","Masters 1",129.21,"120+",240,250,265,NA,265,190,200,-206,NA,200,250,265,278,NA,278,743,"1",420.7,443.84,400.08,581.06,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257605,3
"Yann Paulet","M","SBD","Raw",42,"40-44","Masters 1",152.09,"120+",225,-235,235,NA,235,155,162.5,167.5,NA,167.5,245,257.5,NA,NA,257.5,660,"2",364.46,371.75,344.2,464.12,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257606,4
"Romuald Buisson","M","SBD","Raw",53,"50-54","Masters 2",55.67,"59",100,105,107.5,NA,107.5,67.5,72.5,-75,NA,72.5,-145,145,152.5,NA,152.5,332.5,"1",304.45,360.47,297.81,412.54,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257607,3
"Xavier Hare","M","SBD","Raw",56,"55-59","Masters 2",65.42,"66",150,157.5,-162.5,NA,157.5,-110,110,-115,NA,110,190,200,210,NA,210,477.5,"1",377.68,470.58,366.72,548.31,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257608,3
"Fabrice Pailler","M","SBD","Raw",54,"50-54","Masters 2",64.82,"66",142.5,147.5,150,NA,150,92.5,97.5,-102.5,NA,97.5,-187.5,190,200,NA,200,447.5,"2",356.68,429.44,346.44,512.4,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257609,3
"Pascal Poidras","M","SBD","Raw",50,"50-54","Masters 2",65.89,"66",155,162.5,167.5,NA,167.5,125,130,-135,NA,130,175,185,190,NA,190,487.5,"G",383.31,433.14,372.09,558.33,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257610,3
"Laurent Jegu","M","SBD","Raw",52,"50-54","Masters 2",73.21,"74",165,170,-177.5,NA,170,87.5,92.5,-95,NA,92.5,175,185,190,NA,190,452.5,"1",328,382.12,317.45,471.1,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257611,3
"Jean Canestrier","M","SBD","Raw",52,"50-54","Masters 2",72.05,"74",145,150,155,NA,155,95,100,-102.5,NA,100,180,185,-192.5,NA,185,440,"2",322.67,375.91,312.41,461.43,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257612,3
"Bruno Bastien","M","SBD","Raw",53,"50-54","Masters 2",73.23,"74",135,145,147.5,NA,147.5,115,120,-122.5,NA,120,-165,165,-175,NA,165,432.5,"3",313.44,371.11,303.36,446.43,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257613,3
"Pascal Lino","M","SBD","Raw",49,"45-49","Masters 2",70.87,"74",120,140,-145,NA,140,70,-80,-80,NA,70,-220,-220,220,NA,220,430,"4",319.23,355.31,309.22,454.89,"Yes","","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257614,3
"Eric Deleplace","M","SBD","Raw",51,"50-54","Masters 2",72,"74",-140,-140,-140,NA,NA,-100,NA,NA,NA,NA,-165,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257615,15
"Kader Baali","M","SBD","Raw",49,"45-49","Masters 2",79.14,"83",215,230.5,-240,NA,230.5,142.5,147.5,150,NA,150,-245,257.5,-270,NA,257.5,638,"1",438.57,488.12,423.75,661.08,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257616,3
"Fabrice Bertin","M","SBD","Raw",51,"50-54","Masters 2",82.61,"83",200,210,NA,NA,210,147.5,155,-157.5,NA,155,200,215,-222.5,NA,215,580,"2",388.24,445.31,374.8,575.66,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257617,4
"Philippe Pasquier","M","SBD","Raw",50,"50-54","Masters 2",82.22,"83",200,215,222.5,NA,222.5,115,120,122.5,NA,122.5,210,230,-240,NA,230,575,"3",385.98,436.16,372.66,571.85,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257618,3
"Georges Mingot","M","SBD","Raw",53,"50-54","Masters 2",81.66,"83",180,190,195,NA,195,135,-140,-140,NA,135,190,200,-202.5,NA,200,530,"4",357.25,422.99,344.96,522.98,"Yes","France","FFForce","2018-03-23","France","","France Force Athlétique Masters",1257619,3
